"Kec_angin","T_max","T_min","Kelembaban","Tekanan_udara","Curah_hujan"
"0.97","27.29","22.61","17.82","100.71","4.53"
"1.31","29.08","22.33","18.13","100.61","0.72"
"1.05","27.33","23.4","19.1","100.58","10.07"
"1.26","26.94","23.54","18.43","100.6","3.2"
"1.55","29.22","22.83","17.82","100.6","0.17"
"1.33","28.92","22.5","18.13","100.61","0.0"
"1.38","28.87","22.51","18.13","100.7","4.90"
"1.04","27.56","22.84","18.01","100.82","14.09"
"1.09","28.35","22.85","17.82","100.88","5.80"
"1.16","28.02","22.64","17.88","100.86","5.79"
