Tahun,Bulan,Hari,Kec_angin,T_max,T_min,Curah_hujan,Kelembapan,Tekanan_udara
2011,1,1,1.02,27.94,23.61,1.38,18.98,100.56
2011,1,2,0.98,28.15,23.3,2.54,18.68,100.63
2011,1,3,0.77,26.65,23.51,7.62,18.55,100.68
2011,1,4,1.12,27.26,22.88,10.53,18.37,100.62
2011,1,5,1.15,28.48,22.99,11.69,18.37,100.55
2011,1,6,1.05,27.72,23.37,7.91,18.49,100.67
2011,1,7,0.97,27.29,22.61,4.53,17.82,100.71
2011,1,8,1.31,29.08,22.33,0.72,18.13,100.61
2011,1,9,1.05,27.33,23.4,10.07,19.1,100.58
2011,1,10,1.26,26.94,23.54,3.2,18.43,100.6
2011,1,11,1.55,29.22,22.83,0.17,17.82,100.6
2011,1,12,1.33,28.92,22.5,0.0,18.13,100.61
2011,1,13,1.38,28.87,22.51,0.02,18.13,100.7
2011,1,14,1.04,27.56,22.84,14.09,18.01,100.82
2011,1,15,1.09,28.35,22.85,5.12,17.82,100.88
2011,1,16,1.16,28.02,22.64,5.79,17.88,100.86
2011,1,17,1.31,28.65,22.91,0.41,17.88,100.84
2011,1,18,1.35,27.19,22.81,4.7,17.76,100.86
2011,1,19,1.1,28.48,22.57,0.09,17.7,100.8
2011,1,20,1.08,27.87,22.68,0.0,17.52,100.73
2011,1,21,1.02,27.7,22.1,17.55,17.88,100.75
2011,1,22,0.95,27.78,22.62,10.89,17.82,100.88
2011,1,23,0.76,28.04,22.87,32.88,18.07,100.93
2011,1,24,1.09,28.78,22.6,1.58,18.07,100.85
2011,1,25,1.12,27.88,22.69,4.49,18.19,100.81
2011,1,26,0.91,29.4,22.74,3.56,18.43,100.81
2011,1,27,1.0,27.67,23.73,5.14,18.8,100.84
2011,1,28,1.24,27.05,23.73,76.02,19.17,100.77
2011,1,29,0.95,27.94,23.23,28.31,18.31,100.79
2011,1,30,0.88,27.15,22.69,8.24,17.94,100.89
2011,1,31,1.05,28.52,22.6,1.16,17.94,100.87
2011,2,1,1.07,27.37,22.98,0.78,18.13,100.81
2011,2,2,1.13,27.72,23.17,6.15,18.43,100.81
2011,2,3,1.09,27.81,23.12,8.17,18.37,100.84
2011,2,4,1.05,26.31,23.13,26.8,18.19,100.88
2011,2,5,1.03,28.91,22.47,5.0,17.94,100.88
2011,2,6,1.01,29.21,22.65,0.2,18.07,100.82
2011,2,7,1.27,29.13,23.36,1.38,18.55,100.69
2011,2,8,1.02,30.17,22.48,0.0,18.68,100.57
2011,2,9,0.78,29.34,23.73,7.27,19.04,100.55
2011,2,10,0.73,29.48,23.76,1.43,18.8,100.62
2011,2,11,0.87,31.08,22.87,1.64,18.8,100.7
2011,2,12,0.83,30.08,23.4,9.72,18.98,100.74
2011,2,13,1.04,29.05,23.76,3.34,18.98,100.74
2011,2,14,1.02,29.16,23.62,0.04,18.68,100.71
2011,2,15,0.88,28.57,23.05,23.3,18.31,100.86
2011,2,16,0.91,27.69,23.37,32.74,18.86,100.94
2011,2,17,1.09,28.66,22.95,33.09,18.62,100.87
2011,2,18,1.12,27.87,23.05,18.64,18.62,100.83
2011,2,19,1.34,27.73,22.99,9.35,18.19,100.92
2011,2,20,1.14,28.85,21.8,1.4,17.52,100.95
2011,2,21,1.18,30.06,21.86,0.56,17.7,100.87
2011,2,22,1.05,29.24,22.55,0.0,18.25,100.86
2011,2,23,0.91,28.62,23.43,2.63,19.04,100.84
2011,2,24,0.88,28.89,23.77,0.71,19.29,100.75
2011,2,25,1.12,28.99,23.49,0.37,19.04,100.63
2011,2,26,1.06,28.2,23.55,12.14,19.04,100.66
2011,2,27,1.05,28.29,23.53,19.05,19.1,100.7
2011,2,28,1.05,26.26,23.11,30.68,18.37,100.8
2011,3,1,1.05,28.46,21.97,7.95,17.94,100.82
2011,3,2,0.66,30.12,23.32,3.62,18.07,100.75
2011,3,3,0.8,28.78,23.33,14.12,18.8,100.79
2011,3,4,0.78,27.99,23.34,2.22,18.68,100.74
2011,3,5,0.75,28.49,23.16,16.77,18.62,100.75
2011,3,6,0.59,28.8,24.0,6.16,18.86,100.82
2011,3,7,0.62,29.11,23.96,5.28,18.68,100.84
2011,3,8,0.53,28.11,23.68,8.22,18.62,100.8
2011,3,9,0.64,28.44,23.43,18.27,18.74,100.82
2011,3,10,0.6,27.02,23.98,6.31,18.92,100.82
2011,3,11,0.89,28.85,23.06,3.02,18.74,100.75
2011,3,12,0.77,29.2,23.23,1.58,18.43,100.74
2011,3,13,0.57,29.26,24.09,7.41,18.55,100.74
2011,3,14,0.7,28.28,24.01,5.84,19.1,100.73
2011,3,15,0.52,28.05,24.01,2.56,18.07,100.73
2011,3,16,0.68,30.06,22.51,12.48,18.01,100.61
2011,3,17,0.59,27.75,23.93,6.43,18.74,100.69
2011,3,18,0.71,30.35,24.12,5.36,18.68,100.71
2011,3,19,0.8,29.76,23.86,40.66,18.98,100.69
2011,3,20,0.9,29.21,23.42,12.52,19.1,100.68
2011,3,21,0.87,28.51,23.76,13.61,18.86,100.75
2011,3,22,0.78,28.01,23.02,9.69,18.31,100.82
2011,3,23,0.59,29.68,22.91,1.08,17.94,100.73
2011,3,24,0.71,26.98,23.12,20.66,17.82,100.74
2011,3,25,0.85,27.69,23.11,2.72,17.64,100.81
2011,3,26,0.45,28.0,23.37,15.06,17.94,100.84
2011,3,27,0.73,28.96,23.42,21.5,18.8,100.75
2011,3,28,0.7,28.51,24.19,9.93,18.25,100.75
2011,3,29,0.66,29.86,24.32,4.21,19.23,100.77
2011,3,30,1.12,28.27,22.4,1.29,18.19,100.85
2011,3,31,1.17,29.9,20.9,0.26,18.07,100.81
2011,4,1,0.8,28.51,23.95,0.11,18.92,100.83
2011,4,2,0.74,29.78,23.33,2.26,18.74,100.81
2011,4,3,0.78,29.08,23.79,4.42,19.1,100.81
2011,4,4,0.55,28.21,24.08,2.6,18.8,100.93
2011,4,5,0.62,30.1,22.74,18.47,18.01,100.96
2011,4,6,0.67,29.33,23.62,7.37,18.86,100.96
2011,4,7,0.82,29.37,24.05,8.67,19.53,100.93
2011,4,8,0.64,29.38,23.93,16.42,18.92,100.92
2011,4,9,0.7,27.62,23.37,25.51,18.43,101.03
2011,4,10,0.68,28.3,23.31,12.78,18.68,100.99
2011,4,11,0.9,27.79,23.57,4.07,18.74,100.88
2011,4,12,0.8,29.28,23.49,11.87,18.98,100.85
2011,4,13,0.78,29.96,23.34,9.41,18.8,100.85
2011,4,14,0.75,30.11,23.12,12.04,19.04,100.73
2011,4,15,0.49,29.08,24.19,12.1,19.1,100.74
2011,4,16,0.59,29.0,23.44,3.14,18.74,100.85
2011,4,17,0.89,30.18,23.2,1.67,19.04,100.81
